id,property,needs_translation,default,translated
2013,SYNONYM,f,Bacillus laterosporus,
991,SYNONYM,f,Bacillus lentimorbus,
736,SYNONYM,f,Bacillus lentus,
121,SYNONYM,f,Bacillus luciferensis,
2399,SYNONYM,f,Bacillus macerans,
237,SYNONYM,f,Bacillus macyae,
185,SYNONYM,f,Bacillus marinus,
1596,SYNONYM,f,Bacillus marisflavi,
1397,SYNONYM,f,Bacillus massiliensis,
1785,SYNONYM,f,Bacillus megaterium,
2277,SYNONYM,f,Bacillus mucilaginosus,
2275,SYNONYM,f,Bacillus muralis,
1409,SYNONYM,f,Bacillus naganoensis,
1102,SYNONYM,f,Bacillus nealsonii,
433,SYNONYM,f,Bacillus niacini,
2422,SYNONYM,f,Bacillus novalis,
1623,SYNONYM,f,Bacillus odysseyi,
637,SYNONYM,f,Bacillus okuhidensis,
1838,SYNONYM,f,Bacillus oleronius,
192,SYNONYM,f,Bacillus pabuli,
2937,SYNONYM,f,Bacillus pallidus,
599,SYNONYM,f,Bacillus pantothenticus,
921,SYNONYM,f,Bacillus parabrevis,
1848,SYNONYM,f,Bacillus pasteurii,
2315,SYNONYM,f,Bacillus patagoniensis,
3,SYNONYM,f,Bacillus pocheonensis,
1328,SYNONYM,f,Bacillus polymyxa,
2455,SYNONYM,f,Bacillus popilliae,
27,SYNONYM,f,Bacillus pseudalcaliphilus,
2537,SYNONYM,f,Bacillus pseudofirmus,
949,SYNONYM,f,Bacillus psychrophilus,
2481,SYNONYM,f,Bacillus psychrosaccharolyticus,
33,SYNONYM,f,Bacillus pulvifaciens,
1549,SYNONYM,f,Bacillus pycnus,
864,SYNONYM,f,Bacillus salexigens,
324,SYNONYM,f,Bacillus saliphilus,
1437,SYNONYM,f,Bacillus selenitireducens,
1118,SYNONYM,f,Bacillus shackletonii,
357,SYNONYM,f,Bacillus silvestris,
1920,SYNONYM,f,Bacillus simplex,
906,SYNONYM,f,Bacillus siralis,
2076,SYNONYM,f,Bacillus soli,
2914,SYNONYM,f,Bacillus sphaericus,
1097,SYNONYM,f,Bacillus sporothermodurans,
1960,SYNONYM,f,Bacillus subterraneus,
242,SYNONYM,f,Bacillus subtilis inaquosorum,
2173,SYNONYM,f,Bacillus subtilis spizizenii,
1976,SYNONYM,f,Bacillus subtilis subtilis,
2298,SYNONYM,f,Bacillus thermantarcticus,
715,SYNONYM,f,Bacillus thermocatenulatus,
577,SYNONYM,f,Bacillus thermodenitrificans,
2437,SYNONYM,f,Bacillus thermoglucosidasius,
1924,SYNONYM,f,Bacillus thiaminolyticus,
1878,SYNONYM,f,Bacillus tusciae,
1544,SYNONYM,f,Bacillus validus,
1469,SYNONYM,f,Bacillus vedderi,
1994,SYNONYM,f,Bacillus vietnamensis,
1224,SYNONYM,f,Bacillus vireti,
1967,SYNONYM,f,Bacillus weihenstephanensis,
1546,SYNONYM,f,Bacterionema matruchotii,
525,SYNONYM,f,Bacteroides bivius,
1984,SYNONYM,f,Bacteroides buccae,
932,SYNONYM,f,Bacteroides buccalis,
370,SYNONYM,f,Bacteroides capillosus,
734,SYNONYM,f,Bacteroides capillus,
2010,SYNONYM,f,Bacteroides coagulans,
1414,SYNONYM,f,Bacteroides corporis,
1222,SYNONYM,f,Bacteroides denticola,
365,SYNONYM,f,Bacteroides disiens,
382,SYNONYM,f,Bacteroides distasonis,
2898,SYNONYM,f,Bacteroides dorei,
2168,SYNONYM,f,Bacteroides endodontalis,
2901,SYNONYM,f,Bacteroides forsythus,
1190,SYNONYM,f,Bacteroides furcosus,
1610,SYNONYM,f,Bacteroides gingivalis,
444,SYNONYM,f,Bacteroides goldsteinii,
2007,SYNONYM,f,Bacteroides gracilis,
1640,SYNONYM,f,Bacteroides hypermegas,
2592,SYNONYM,f,Bacteroides intermedius,
1314,SYNONYM,f,Bacteroides levii,
1600,SYNONYM,f,Bacteroides macacae,
2189,SYNONYM,f,Bacteroides massiliensis,
903,SYNONYM,f,Bacteroides melaninogenicus,
1434,SYNONYM,f,Bacteroides merdae,
2523,SYNONYM,f,Bacteroides multiacidus,
1641,SYNONYM,f,Bacteroides nodosus,
742,SYNONYM,f,Bacteroides ochraceus,
1502,SYNONYM,f,Bacteroides oralis,
920,SYNONYM,f,Bacteroides oris,
1949,SYNONYM,f,Bacteroides oulorum,
2579,SYNONYM,f,Bacteroides pentosaceus,
1340,SYNONYM,f,Bacteroides praeacutus,
84,SYNONYM,f,Bacteroides putredinis,
1778,SYNONYM,f,Bacteroides ruminicola,
1237,SYNONYM,f,Bacteroides salivosus,
2311,SYNONYM,f,Bacteroides splanchnicus,
2562,SYNONYM,f,Bacteroides suis,
925,SYNONYM,f,Bacteroides tectus,
2160,SYNONYM,f,Bacteroides ureolyticus,
1213,SYNONYM,f,Bacteroides veroralis,
197,SYNONYM,f,Bacteroides vulgatus,
166,SYNONYM,f,Beneckea alginolytica,
1007,SYNONYM,f,Beneckea harveyi,
541,SYNONYM,f,Beneckea parahaemolytica,
879,SYNONYM,f,Beneckea vulnifica,
2829,SYNONYM,f,Bifidobacterium denticolens,
354,SYNONYM,f,Bifidobacterium infantis,
2830,SYNONYM,f,Bifidobacterium inopinatum,
1292,SYNONYM,f,Bifidobacterium suis,
1927,SYNONYM,f,Bipolaris australiensis,
948,SYNONYM,f,Bipolaris hawaiiensis,
2691,SYNONYM,f,Bocavirus,
2240,SYNONYM,f,Botryodiplodia theobromae,
496,SYNONYM,f,Brachycladium spiciferum,
2441,SYNONYM,f,Branhamella catarrhalis,
2283,SYNONYM,f,Brevibacterium albidum,
1784,SYNONYM,f,Brevibacterium ammoniagenes,
247,SYNONYM,f,Brevibacterium imperiale,
1829,SYNONYM,f,Brevibacterium oxydans,
182,SYNONYM,f,Brevibacterium vitarumen,
