id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
eotvB304mQF,NEOIPC_HAP_CLIN_CRIT_FULFILLED,NeoIPC HAP Clinical criteria fulfilled,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
w06601OEHyH,NEOIPC_HAP_CLIN_CRIT_TOTAL_COUNT,NeoIPC HAP Clinical criteria total count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
YlB9UQTHYAz,NEOIPC_HAP_DOL_CUR,NeoIPC HAP on day of life current value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,False,D8mSSpOpsKj,boPV9RWoanT,,,
XP4dqIutR6M,NEOIPC_HAP_FEVER_CUR,NeoIPC HAP Fever value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,UNYrrkrnjM4,,,
JA55RlDLzcr,NEOIPC_HAP_FEVER_UINT,NeoIPC HAP Fever uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
CkArIwqTqtR,NEOIPC_HAP_IMG_CRIT_FULFILLED,NeoIPC HAP Imaging criterion fulfilled,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
RCZvl1k5INX,NEOIPC_HAP_IMG_FINDINGS_CUR,NeoIPC HAP Imaging findings value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,piqoBwxf7t8,,,
e64w7OIq9dA,NEOIPC_HAP_INCREASED_RESP_SECRETION_CUR,NeoIPC HAP Increased respiratory secretion value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,cwtpTIICAQP,,,
KLa6QnOUtWo,NEOIPC_HAP_INCREASED_RESP_SECRETION_UINT,NeoIPC HAP Increased respiratory secretion uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
i7uelgbdYta,NEOIPC_HAP_IT_RATIO_CUR,NeoIPC HAP IT ratio value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,iriHpzXRO5e,,,
LZBFFRw1esz,NEOIPC_HAP_IT_RATIO_UINT,NeoIPC HAP IT ratio uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
BNtkyGIQ1E4,NEOIPC_HAP_LAB_FINDINGS_CUR,NeoIPC HAP Laboratory findings value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,h8FpJvGQDfJ,,,
o3ygjcUACTA,NEOIPC_HAP_LAB_FINDINGS_UINT,NeoIPC HAP Laboratory findings uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
ssMRnEBMBp6,NEOIPC_HAP_LOS_CUR,NeoIPC HAP Length of Stay current value,DATAELEMENT_CURRENT_EVENT,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,f22ppOLUE5q,,,
gyflgVF4Be2,NEOIPC_HAP_LOW_RESP_TRACT_SAMPLE_POS,NeoIPC HAP Lower respiratory tract sample positive,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
msPlpQuoofu,NEOIPC_HAP_MIBI_TEST_RESULT_CUR,NeoIPC HAP Microbiological test result value,DATAELEMENT_CURRENT_EVENT,INTEGER,True,D8mSSpOpsKj,Z2GhKrAdO2c,,,
BNI39Km1Y9J,NEOIPC_HAP_MIBI_TEST_RESULT_UINT,NeoIPC HAP Microbiological test result uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
es5LOp5OY2j,NEOIPC_HAP_PURULENT_TRACHEAL_ASPIRATE_CUR,NeoIPC HAP Purulent tracheal aspirate value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,s77aiscqcnx,,,
F6zO54sgbt9,NEOIPC_HAP_PURULENT_TRACHEAL_ASPIRATE_UINT,NeoIPC HAP Purulent tracheal aspirate uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
BetVzR2GFmz,NEOIPC_HAP_RESP_DISTRESS_CUR,NeoIPC HAP Respiratory distress value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,Ii1DSs7ZGbT,,,
