id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
SCrOe0ZHWh0,WARNINGONCOMPLETE,"If you do not enter a birth weight, the infant will be excluded from the most relevant reports. Please do always enter the birth weight if it is available.",,,,tm7biA83rNu,,ZbL9VmLRB6D,,,,,,
SDd6PPHGXxy,HIDEFIELD,,,,,uitFTLJmYup,cyCczC5xzaB,,,,,,,
SRl0Sww6BOA,DISPLAYKEYVALUEPAIR,Antibiotic treatment has value,expressions/programRules/NeoIPC BSI Debug rule/SRl0Sww6BOA.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
SSBT2ZOBDTM,HIDEFIELD,,,,,cnyYkKWdFSV,rp3SK7xGfq9,,,,,,,
SbaonIMfU5K,ASSIGN,#{NeoIPC Admission Completed},expressions/programRules/NeoIPC Admission Set completed/SbaonIMfU5K.data.dhis2,,,w2qtd49SXSi,,,,,,,,
SegNT3LTXT6,HIDEFIELD,,,,,uitFTLJmYup,V4cZc41FDMf,,,,,,,
SkizmAHatQu,HIDEFIELD,,,,,hwszsk44hZ3,gvmTVfiIk2g,,,,,,,
T7zcLkQmV34,ASSIGN,#{NeoIPC HAP Virus detected},expressions/programRules/NeoIPC HAP Virus detected - infer true/T7zcLkQmV34.data.dhis2,,,BMY3P0lQncK,,,,,,,,
TG09ij4rCP7,SENDMESSAGE,,,,rrg8grLZodN,kmpDHu9KTlL,,,,,,,,
TMcdpdR5yBs,SHOWERROR,Probiotic days must be less than or equal to patient days,,,,e7OKeQN5jpg,U4ys5n9dSRR,,,,,,,
TULPXMExhs0,DISPLAYKEYVALUEPAIR,Antibiotic treatment,expressions/programRules/NeoIPC BSI Debug rule/TULPXMExhs0.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
TZTH0rlPDRR,ERRORONCOMPLETE,"The definition for superficial incisional SSI is not met. ",,,,sc6VLWeyY4U,,,,,,,,
TxnBYLBAVsK,ASSIGN,#{NeoIPC HAP Fever uint value},expressions/programRules/NeoIPC HAP Fever value - true/TxnBYLBAVsK.data.dhis2,,,uMbvNBL9p73,,,,,,,,
UAc2iOrETsQ,HIDESECTION,,,,,uitFTLJmYup,,,yhamIeNXB9y,,,,,
