id,code,name,description,condition,priority,program,programStage,programRuleActions,sharing
Vq5RQpOCc5S,NEOIPC_HAP_CLIN_CRIT_FULFILLED_FALSE,NeoIPC HAP Clinical criteria fulfilled - assign false,,expressions/programRules/NeoIPC HAP Clinical criteria fulfilled - assign false/condition.dhis2,5,D8mSSpOpsKj,gS3zQzPpsgV,lsLr3O3AZuk,
UcZUM0TOJ8r,NEOIPC_HAP_CLIN_CRIT_FULFILLED_TRUE,NeoIPC HAP Clinical criteria fulfilled - assign true,,expressions/programRules/NeoIPC HAP Clinical criteria fulfilled - assign true/condition.dhis2,5,D8mSSpOpsKj,gS3zQzPpsgV,xIahBaeARNO,
JCR4IJWeFPy,NEOIPC_HAP_CLIN_CRIT_TOTAL_COUNT_CALC,NeoIPC HAP Clinical criteria total count - assign calculated value,,expressions/programRules/NeoIPC HAP Clinical criteria total count - assign calculated value/condition.dhis2,4,D8mSSpOpsKj,gS3zQzPpsgV,NCIDqY9eBWK,
fGBzfFalTNS,NEOIPC_HAP_DEFINITION_VR,NeoIPC HAP - validate definition,Validates whether the information entered for a pneumonia fulfills the criteria of the NeoIPC pneumonia definition,expressions/programRules/NeoIPC HAP - validate definition/condition.dhis2,100,D8mSSpOpsKj,gS3zQzPpsgV,EK1zr5wNvR4,
rb0tjhQtZF2,NEOIPC_HAP_DISPLAY_FEEDBACK,NeoIPC HAP - display feedback,,expressions/programRules/NeoIPC HAP - display feedback/condition.dhis2,100,D8mSSpOpsKj,gS3zQzPpsgV,BVLjKsKxgmA RiruEMstGWw XjfkynbsLHl pv5FaamSoG4 yNrTNPzvyhZ,
TAB3BsCr9gs,NEOIPC_HAP_DOL_VAL_LESS_THAN_4,NeoIPC HAP Day of life value less than 4,Issues a warning if the day of life at the time of a HAP event is 3 or less,expressions/programRules/NeoIPC HAP Day of life value less than 4/condition.dhis2,1,D8mSSpOpsKj,gS3zQzPpsgV,qZU8QJQdiMp,
uMbvNBL9p73,NEOIPC_HAP_FEVER_VAL_TRUE,NeoIPC HAP Fever value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Fever value"" is true",expressions/programRules/NeoIPC HAP Fever value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,TxnBYLBAVsK,
gaMKXAX1EtC,NEOIPC_HAP_IMG_FINDINGS_CRIT_FULFILLED_FALSE,NeoIPC HAP Imaging findings criterion fulfilled - assign false,,expressions/programRules/NeoIPC HAP Imaging findings criterion fulfilled - assign false/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,Vhm2WhgO9y9,
yzZoVDcOape,NEOIPC_HAP_IMG_FINDINGS_CRIT_FULFILLED_TRUE,NeoIPC HAP Imaging findings criterion fulfilled - assign true,,expressions/programRules/NeoIPC HAP Imaging findings criterion fulfilled - assign true/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,z1LSlhvgXbt,
CynFTUls1wk,NEOIPC_HAP_INCREASED_RESP_SECRETION_VAL_TRUE,NeoIPC HAP Increased respiratory secretion value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Increased respiratory secretion value"" is true",expressions/programRules/NeoIPC HAP Increased respiratory secretion value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,yMUkmWRLhz2,
KaUyBtMlag2,NEOIPC_HAP_IT_RATIO_VAL_TRUE,NeoIPC HAP IT ratio value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP IT ratio value"" is true",expressions/programRules/NeoIPC HAP IT ratio value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,cN9UvYEbpdy,
aCZ3BVUt88I,NEOIPC_HAP_LAB_FINDINGS_VAL_TRUE,NeoIPC HAP Laboratory findings value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Laboratory findings value"" is true",expressions/programRules/NeoIPC HAP Laboratory findings value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,GjNS5mEeGT0,
zCTvQxtGvUp,NEOIPC_HAP_LOS_LESS_THAN_2,NeoIPC HAP Length of Stay less than 2,Issues a warning if the length of stay at the time of a HAP event is 1 or less,expressions/programRules/NeoIPC HAP Length of Stay less than 2/condition.dhis2,1,D8mSSpOpsKj,gS3zQzPpsgV,pCAJNJGHs5z,
rMrwsAXqIKc,NEOIPC_HAP_LOW_RESP_TRACT_SAMPLE_POS_INFER_FALSE,NeoIPC HAP Lower respiratory tract sample positive - infer false,"Sets the program rule variable ""NeoIPC HAP Lower respiratory tract sample positive"" to false if none of the 3 detected pathogens was detected from the lower respiratory tract.",expressions/programRules/NeoIPC HAP Lower respiratory tract sample positive - infer false/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,pzsArssyjf7,
EQ640JFGSCE,NEOIPC_HAP_LOW_RESP_TRACT_SAMPLE_POS_INFER_TRUE,NeoIPC HAP Lower respiratory tract sample positive - infer true,"Sets the program rule variable ""NeoIPC HAP Lower respiratory tract sample positive"" to true if any of the 3 detected pathogens was detected from the lower respiratory tract.",expressions/programRules/NeoIPC HAP Lower respiratory tract sample positive - infer true/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,N8uZLG5Xa44,
vZB3p7NXfKx,NEOIPC_HAP_MIBI_TEST_RESULT_VAL_1_PLUS,NeoIPC HAP Microbiological test result value - 1+,"Adjusts the dialog and assigns variables when ""Microbiological test result value"" is greater than 0",expressions/programRules/NeoIPC HAP Microbiological test result value - 1+/condition.dhis2,,D8mSSpOpsKj,gS3zQzPpsgV,XmKZrpDq0OG ifQ68rsMHB7,
jewkCRzEWoA,NEOIPC_HAP_MIBI_TEST_RESULT_VAL_NO_VAL_OR_0,NeoIPC HAP Microbiological test result value - no value or 0-,"Adjusts the dialog and assigns variables when ""Microbiological test result value"" does not have a value or when the value is less than 1",expressions/programRules/NeoIPC HAP Microbiological test result value - no value or 0-/condition.dhis2,,D8mSSpOpsKj,gS3zQzPpsgV,XockUiO4AcV dWiBLolUv7r,
zCoyxqNEOVx,NEOIPC_HAP_PURULENT_TRACHEAL_ASPIRATE_VAL_TRUE,NeoIPC HAP Purulent tracheal aspirate value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Purulent tracheal aspirate value"" is true",expressions/programRules/NeoIPC HAP Purulent tracheal aspirate value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,Wm8t1QwPEqi,
