id,code,name,shortName,formName,description,url,valueType,domainType,aggregationType,zeroIsSignificant,categoryCombo,optionSet,commentOptionSet,aggregationLevels,legendSets,sharing
nIqZE9xCVJ8,NEOIPC_NEC_PNEUMATOSIS_INTESTINALIS_IMG,NeoIPC NEC Pneumatosis intestinalis imaging,NeoIPC NEC Pneumat. intest. img,Pneumatosis intestinalis,"Pneumatosis intestinalis in imaging findings (imaging technologies: X-ray, CT, MRI, ultrasound).",,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
JEZhgQZLvqW,NEOIPC_NEC_PNEUMATOSIS_INTESTINALIS_SURG,NeoIPC NEC Pneumatosis intestinalis surgical,NeoIPC NEC Pneumatosis intestinalis surg.,Pneumatosis intestinalis with or without intestinal perforation,Surgical or pathologic finding of pneumatosis intestinalis with or without intestinal perforation.,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
kqSndqsPCLA,NEOIPC_NEC_PNEUMOPERITONEUM,NeoIPC NEC Pneumoperitoneum,NeoIPC NEC Pneumoperitoneum,Pneumoperitoneum,"Pneumoperitoneum in imaging findings (imaging technologies: X-ray, CT, MRI, ultrasound).",,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
vVI3Cks7WgS,NEOIPC_NEC_PORTAL_VENOUS_GAS,NeoIPC NEC Portal venous gas,NeoIPC NEC Portal venous gas,Portal venous gas,Accumulation of gas(-bubbles) in the portal vein and its branches.,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
ntOxPtrVkNx,NEOIPC_NEC_SECONDARY_BSI,NeoIPC NEC Secondary bloodstream infection,NeoIPC NEC Sec. BSI,Secondary bloodstream infection,"A BSI that is thought to be seeded from this NEC A BSI can be attributed to a site-specific infection (in this case the NEC if it occurs in a 17-day period that includes the day of infection (=first symptoms of site-specific infection), 3 days prior, and 13 days after.",,INTEGER,TRACKER,DEFAULT,False,bjDvmb4bfuf,KfIEzWRibj7,,,,PUBLIC_RW
Oj69i3AeaPR,NEOIPC_NEC_VOMITING,NeoIPC NEC Vomiting,NeoIPC NEC Vomiting,Vomiting,Increasing/pronounced vomiting (e.g. bilious or bloody).,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
n0YMeniULF8,NEOIPC_SSI_ABSCESS_DEEP,NeoIPC SSI Abscess deep incision,NeoIPC SSI Abscess deep,Abscess or other evidence of infection involving the deep incision,"An abscess or other evidence of infection involving the deep incision that is detected on gross anatomical or histopathologic exam, or imaging test.",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
J9pWV2Y8fZS,NEOIPC_SSI_ABSCESS_ORGAN,NeoIPC SSI Abscess organ space,NeoIPC SSI Abscess organ space,Abscess or other evidence of infection involving the organ/space,"An abscess or other evidence of infection involving the organ/space that is detected on gross anatomical or histopathologic exam, or imaging test evidence suggestive of infection.",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
YHYi79E8xhN,NEOIPC_SSI_DOL,NeoIPC SSI Day of life,NeoIPC SSI DOL,Day of life,The day of life on which the surgical site infection occurred. This field is calculated automatically.,,INTEGER_POSITIVE,TRACKER,AVERAGE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
Bny6KnXTJZP,NEOIPC_SSI_FEVER,NeoIPC SSI Fever,NeoIPC SSI Fever,Temperature abnormalities,Fever (> 38 °C) or hypothermia (< 36.5 °C) or temperature instability.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
kVNzBLpyrtc,NEOIPC_SSI_INC_DEHISCES_DEEP,NeoIPC SSI Deep incision dehisces,NeoIPC SSI Deep inc. dehisc.,"Deep incision dehisces, opened or aspirated","A deep incision that spontaneously dehisces, or is deliberately opened or aspirated by a surgeon, physician or physician designee.",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
BRLJT6BGofr,NEOIPC_SSI_INC_OPENED_SUPERF,NeoIPC SSI Superficial incision opened,NeoIPC SSI Superficial inc. opened,Superficial incision opened,"Superficial incision is deliberately opened by a surgeon, physician or physician designee",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
kMJlTTKr5VN,NEOIPC_SSI_INFECTION_PRESENT,NeoIPC SSI Infection present,NeoIPC SSI Inf. Present,Infection present at time of surgery,"Select ""Yes"" only if the evidence of infection seen (seen) during the surgical procedure applies to the depth of the SSI attributed to the procedure. For example, if a patient has a documented intra-abdominal infection at the time of surgery and later returns with an organ/space infection, Set ""Infection present at the time of surgery"" to ""Yes"". If a patient has a documented intra-abdominal infection at the time of surgery and later returns with superficial or deep incisional infection, select ""No"" for ""Infection present at time of surgery"".",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
bRwNwkGZDnx,NEOIPC_SSI_INFECTION_TYPE,NeoIPC SSI Infection type,NeoIPC SSI Inf. type,Infection involves...,"A superficial incisional SSI involves only skin and subcutaneous tissue of the incision. A deep incisional SSI involves deep soft tissues of the incision (for example, fascial and muscle layers). An organ/space SSI involves any part of the body deeper than the fascial/muscle layers that is opened or manipulated during the operative procedure.",,INTEGER_POSITIVE,TRACKER,DEFAULT,True,bjDvmb4bfuf,pbzarUspFrN,,,,PUBLIC_RW
LsIl0YdRagx,NEOIPC_SSI_LOCALIZED_ERYTHEMA,NeoIPC SSI Localized erythema,NeoIPC SSI Loc. erythema,Localized erythema,A localized erythema in the area of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
aglnLwvfXnj,NEOIPC_SSI_LOCALIZED_HEAT,NeoIPC SSI Localized heat,NeoIPC SSI Loc. heat,Localized heat,Localized heat in the area of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
LZcPsWSgWnO,NEOIPC_SSI_LOCALIZED_PAIN_DEEP,NeoIPC SSI Localized pain deep,NeoIPC SSI Loc. pain deep,Localized pain or tenderness,Localized pain or tenderness in the area of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
GBZwcgTBsK2,NEOIPC_SSI_LOCALIZED_PAIN_SUPERF,NeoIPC SSI Localized pain superficial,NeoIPC SSI Loc. pain superf.,Localized pain or tenderness,Localized pain or tenderness in the area of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
pjakd2qB03P,NEOIPC_SSI_LOCALIZED_SWELLING,NeoIPC SSI Localized swelling,NeoIPC SSI Loc. swelling,Localized swelling,Localized swelling in the area of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
LCX6yQP1K3D,NEOIPC_SSI_LOS,"NeoIPC SSI length of stay ",NeoIPC SSI LOS,Day of occurrence after admission,"
The length of stay  on which the surgical site infection occurred. This field is calculated automatically.",,INTEGER_ZERO_OR_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
j4h7viHO6lb,NEOIPC_SSI_ORGANISMS_DEEP,NeoIPC SSI Organisms identified from deep tissue of incision,NeoIPC SSI Organisms from deep tissue,Organism(s) identified from deep tissue of incision,"At least one organism has been identified from the deep tissue of the incision by a culture or non-culture based microbiologic testing method which is performed for purposes of clinical diagnosis or treatment (for example, NOT Active Surveillance Culture/Testing (ASC/AST)).",,INTEGER,TRACKER,DEFAULT,True,bjDvmb4bfuf,TnE2yuSrqEP,,,,PUBLIC_RW
XhcAt9NTFuG,NEOIPC_SSI_ORGANISMS_ORGAN,NeoIPC SSI Organisms identified from organ space fluid tissue,NeoIPC SSI Organisms from organ space fluid tissue,Organism(s) identified from organ/space fluid or tissue,"At least one organism has been identified from fluid or tissue in the organ/space by a culture or non-culture based microbiologic testing method which is performed for purposes of clinical diagnosis or treatment (for example, NOT Active Surveillance Culture/Testing (ASC/AST)).",,INTEGER,TRACKER,DEFAULT,True,bjDvmb4bfuf,TnE2yuSrqEP,,,,PUBLIC_RW
vNw0rqjhgW1,NEOIPC_SSI_ORGANISMS_SUPERF,NeoIPC SSI Organisms identified from superficial incision,NeoIPC SSI Organisms from superficial incision,Organism(s) identified from superficial incision,"At least one organism has been identified from an aseptically obtained specimen from the superficial incision or subcutaneous tissue by a culture or non-culture based microbiologic testing method which is performed for purposes of clinical diagnosis or treatment (for example, NOT Active Surveillance Culture/Testing (ASC/AST)).",,INTEGER,TRACKER,DEFAULT,True,bjDvmb4bfuf,TnE2yuSrqEP,,,,PUBLIC_RW
bFlYgfbmGBa,NEOIPC_SSI_PHYSICIAN_DIAG_SUPERF,NeoIPC SSI Diagnosis superficial SSI by physician,NeoIPC SSI Diagnosis superf. SSI by physician,Diagnosis by physician,"Diagnosis of a superficial incisional SSI by a surgeon, physician or physician designee.",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
